gx,gy,gz,acx,acy,acz,time,,,,
1.28,-0.61,-0.31,0.57,-0.67,0.45,28/3/2022 9:17,,,,
-0.31,-1.77,-0.61,0.56,-0.67,0.44,28/3/2022 9:17,,,,
1.4,2.32,-0.85,0.58,-0.68,0.44,28/3/2022 9:17,,,,
0.43,2.32,-4.15,0.57,-0.68,0.43,28/3/2022 9:17,,,,
2.08,2.01,-5.13,0.61,-0.67,0.46,28/3/2022 9:17,,,,
4.76,-4.21,2.26,0.58,-0.61,0.45,28/3/2022 9:17,,,,
14.1,-12.27,14.4,0.61,-0.66,0.44,28/3/2022 9:17,,,,
16.66,-21.12,8.12,0.54,-0.67,0.39,28/3/2022 9:17,,,,
26.61,-30.52,19.04,0.39,-0.81,0.41,28/3/2022 9:17,,,,
-1.04,77.88,-13.67,0.49,-0.76,0.44,28/3/2022 9:17,,,,
-15.62,43.58,-18.07,0.47,-0.62,0.45,28/3/2022 9:17,,,,
-1.1,29.48,1.16,0.6,-0.73,0.46,28/3/2022 9:17,,,,
-2.75,19.9,-4.33,0.68,-0.91,0.36,28/3/2022 9:17,,,,
-18.13,-17.03,0.49,0.49,-0.7,0.29,28/3/2022 9:17,,,,
-15.14,-5.37,-2.01,0.87,-0.57,0.27,28/3/2022 9:17,,,,
24.48,-55.18,24.05,0.59,-0.47,0.18,28/3/2022 9:17,,,,
54.2,0.12,14.53,0.53,-0.61,0.35,28/3/2022 9:17,,,,
24.11,30.64,-17.58,0.44,-1.04,0.74,28/3/2022 9:17,,,,
-23.25,-33.94,-17.7,1.04,-0.99,0.42,28/3/2022 9:17,,,,
-59.02,-39.67,16.3,0.28,-0.51,0.03,28/3/2022 9:17,,,,
-19.53,0.31,-10.99,0.5,-0.7,0.06,28/3/2022 9:17,,,,
57.74,111.39,9.7,0.08,-0.6,0.86,28/3/2022 9:17,,,,
-27.22,-114.75,26.61,0.72,-0.64,0.37,28/3/2022 9:17,,,,
23.19,-35.22,-9.89,0.78,-1.1,0.4,28/3/2022 9:17,,,,
-12.88,-44.68,24.6,0.24,-0.55,0.28,28/3/2022 9:17,,,,
-15.32,26.86,6.77,1.17,-0.52,0.26,28/3/2022 9:17,,,,
15.62,-88.2,15.01,0.56,-0.57,0.15,28/3/2022 9:17,,,,
70.43,16.97,14.04,0.27,-0.86,0.37,28/3/2022 9:17,,,,
-26.06,-97.9,-26.67,1.21,-0.95,0.28,28/3/2022 9:17,,,,
-23.19,-92.71,-0.37,0.35,-0.52,0.25,28/3/2022 9:17,,,,
-45.23,6.9,2.81,0.54,-0.71,0.13,28/3/2022 9:17,,,,
-6.47,138.12,-13.73,0.39,-0.55,0.2,28/3/2022 9:17,,,,
5.86,-36.62,52.37,1.4,-0.66,0.21,28/3/2022 9:17,,,,
27.95,-73.67,-13.06,0.74,-1.08,0.44,28/3/2022 9:17,,,,
-19.71,65.92,21.48,0.67,-0.59,0.33,28/3/2022 9:17,,,,
-13.18,-74.95,8.24,0.58,-0.46,0.15,28/3/2022 9:17,,,,
88.81,-64.58,17.09,0.45,-0.68,0.15,28/3/2022 9:17,,,,
-61.65,-74.46,5.37,0.32,-0.64,0.15,28/3/2022 9:17,,,,
83.01,86,2.26,0.35,-0.41,1.04,28/3/2022 9:17,,,,
-16.6,30.88,-1.22,0.68,-0.71,0.31,28/3/2022 9:17,,,,
-51.39,-209.35,-35.77,0.79,-1.08,0.35,28/3/2022 9:17,,,,
-25.02,-34.61,5.19,0.49,-0.52,0.15,28/3/2022 9:17,,,,
4.76,-40.1,-0.12,0.61,-1.05,0.32,28/3/2022 9:17,,,,
-2.26,-30.09,4.58,0.42,-0.55,0.21,28/3/2022 9:17,,,,
55.3,44.37,-2.99,0.58,-0.74,0.44,28/3/2022 9:17,,,,
-50.05,-36.44,-37.78,0.98,-1.05,0.55,28/3/2022 9:17,,,,
-43.21,1.34,7.81,0.42,-0.62,0.05,28/3/2022 9:17,,,,
-10.07,-120.36,45.23,0.62,-0.48,0.4,28/3/2022 9:17,,,,
3.85,-77.09,16.66,0.33,-0.76,0.36,28/3/2022 9:17,,,,
-20.57,15.38,-11.66,0.88,-0.68,0.24,28/3/2022 9:17,,,,
21.12,-21.79,7.87,0.48,-0.58,0.21,28/3/2022 9:17,,,,
47,22.03,0.85,0.45,-0.69,0.43,28/3/2022 9:17,,,,
-25.02,-50.84,3.91,0.98,-1.06,0.23,28/3/2022 9:17,,,,
-48.1,-38.94,5.98,0.26,-0.57,0.07,28/3/2022 9:17,,,,
1.77,58.78,-27.34,0.49,-0.69,0.25,28/3/2022 9:17,,,,
15.14,47.42,-6.59,0.47,-0.6,1.44,28/3/2022 9:17,,,,
23.74,-49.93,22.71,0.49,-0.85,0.38,28/3/2022 9:17,,,,
10.5,-93.93,8.06,0.69,-0.88,0.29,28/3/2022 9:17,,,,
-9.16,15.5,14.1,0.5,-0.66,0.3,28/3/2022 9:17,,,,
-1.89,-27.34,5.37,0.43,-0.56,0.18,28/3/2022 9:17,,,,
58.65,25.02,5.37,0.53,-0.63,0.34,28/3/2022 9:17,,,,
-40.04,-55.79,5.07,0.39,-0.51,0.11,28/3/2022 9:17,,,,
-20.08,0,-4.82,0.55,-0.73,0.12,28/3/2022 9:17,,,,
27.65,82.82,-3.48,0.54,-0.73,0.4,28/3/2022 9:17,,,,
-24.9,3.3,17.33,0.9,-0.57,0.5,28/3/2022 9:17,,,,
34.79,11.9,28.02,0.67,-0.97,0.38,28/3/2022 9:17,,,,
-15.62,-32.47,14.71,0.28,-0.63,0.33,28/3/2022 9:17,,,,
-4.09,-54.5,-13.73,0.67,-0.66,0.2,28/3/2022 9:17,,,,
40.53,23.5,9.34,0.5,-0.6,0.29,28/3/2022 9:17,,,,
1.83,200.87,-18.37,0.59,-0.9,1.05,28/3/2022 9:17,,,,
-11.72,-119.63,4.7,1.05,-0.92,0.26,28/3/2022 9:17,,,,
-46.81,-71.17,9.28,0.33,-0.65,0.02,28/3/2022 9:17,,,,
-2.69,58.41,-27.53,0.19,-0.75,0.21,28/3/2022 9:17,,,,
44.13,94.06,4.09,0.68,-0.57,0.54,28/3/2022 9:17,,,,
0.73,-159.61,41.69,0.64,-0.61,0.43,28/3/2022 9:17,,,,
10.31,0.98,5,0.95,-0.62,0.23,28/3/2022 9:17,,,,
54.75,32.9,18.68,0.45,-0.64,0.3,28/3/2022 9:17,,,,
-18.8,-4.64,-18.8,0.7,-0.82,0.65,28/3/2022 9:17,,,,
-18.43,-73.55,0.49,0.67,-0.78,0.29,28/3/2022 9:17,,,,
-16.91,-30.27,12.39,0.66,-0.78,0.08,28/3/2022 9:17,,,,
43.09,-52.8,36.01,0.58,-0.77,0.4,28/3/2022 9:17,,,,
30.52,-62.13,46.88,0.68,-0.78,0.37,28/3/2022 9:17,,,,
24.11,-28.93,40.41,0.56,-0.54,0.24,28/3/2022 9:17,,,,
61.89,-40.04,28.44,1,-0.61,0.19,28/3/2022 9:17,,,,
42.54,-13.92,23.19,0.59,-0.64,0.31,28/3/2022 9:17,,,,
60.97,-48.16,6.16,0.77,-0.64,0.51,28/3/2022 9:17,,,,
21.79,-77.64,-1.53,0.66,-0.83,0.45,28/3/2022 9:17,,,,
-2.87,-33.63,5.74,0.71,-0.77,0.14,28/3/2022 9:17,,,,
41.5,54.69,25.51,0.45,-0.7,0.26,28/3/2022 9:17,,,,
49.62,114.69,19.47,1.1,-0.73,0.77,28/3/2022 9:17,,,,
44.13,-118.65,24.54,0.48,-0.7,0.23,28/3/2022 9:17,,,,
24.6,1.1,18.74,0.68,-0.83,0.39,28/3/2022 9:17,,,,
16.97,-30.76,27.16,0.74,-0.72,0.26,28/3/2022 9:17,,,,
15.69,-17.52,38.64,0.5,-0.47,0.28,28/3/2022 9:17,,,,
51.15,-47.49,7.57,1.14,-0.58,0.11,28/3/2022 9:17,,,,
48.46,-42.42,25.51,0.53,-0.56,0.24,28/3/2022 9:17,,,,
63.35,-40.41,2.75,0.7,-0.62,0.34,28/3/2022 9:17,,,,
36.19,-19.53,-18.55,0.74,-0.83,0.59,28/3/2022 9:17,,,,
1.53,-61.77,-14.47,0.82,-0.89,0.29,28/3/2022 9:17,,,,
-34.3,-60.85,6.77,0.41,-0.6,0,28/3/2022 9:17,,,,
12.94,-26.43,-21.3,0.29,-0.77,0.19,28/3/2022 9:17,,,,
65.55,15.2,12.08,0.59,-0.68,0.4,28/3/2022 9:17,,,,
-5.13,-91.98,21.12,0.3,-0.55,0.47,28/3/2022 9:17,,,,
25.27,28.02,19.59,0.85,-1,0.44,28/3/2022 9:17,,,,
5.86,-108.34,12.21,0.1,-0.78,0.28,28/3/2022 9:17,,,,
-0.61,18.31,10.99,0.87,-0.64,0.23,28/3/2022 9:17,,,,
24.23,-51.39,21,0.44,-0.54,0.16,28/3/2022 9:17,,,,
30.15,33.2,-3.23,0.52,-0.84,0.43,28/3/2022 9:17,,,,
-65.86,-18.74,-15.2,1.19,-1.03,0.37,28/3/2022 9:17,,,,
-63.42,-41.99,3.05,0.15,-0.61,0.08,28/3/2022 9:17,,,,
-45.35,18.01,-86.61,-0.01,-0.82,0.21,28/3/2022 9:17,,,,
15.08,110.96,-117,0.1,-0.82,0.36,28/3/2022 9:17,,,,
40.95,58.29,-188.9,0.33,-1.15,0.4,28/3/2022 9:17,,,,
26.98,38.27,-147.09,0.16,-1.45,0.58,28/3/2022 9:17,,,,
3.66,103.64,9.46,0.33,-0.61,0.29,28/3/2022 9:17,,,,
-16.05,-98.82,80.44,0.29,-1.12,0.37,28/3/2022 9:17,,,,
-31.62,17.76,129.15,0.03,-0.95,0.32,28/3/2022 9:17,,,,
-28.99,16.72,102.54,0.18,-1.01,0.31,28/3/2022 9:17,,,,
5.92,-42.79,39.06,0,-1.08,0.38,28/3/2022 9:17,,,,
36.44,-61.89,-25.57,0.07,-0.64,0.29,28/3/2022 9:17,,,,
41.02,-36.19,-57.86,0.04,-1.07,0.34,28/3/2022 9:17,,,,
21.55,90.45,-66.53,0.1,-0.84,0.28,28/3/2022 9:17,,,,
37.05,64.82,-41.75,0.23,-0.91,0.41,28/3/2022 9:17,,,,
28.87,-58.9,-37.41,0.33,-1.39,0.66,28/3/2022 9:17,,,,
-47.3,5.43,43.09,0,-0.72,0.34,28/3/2022 9:17,,,,
-65.25,-7.45,50.6,0.32,-1.14,0.34,28/3/2022 9:17,,,,
